Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
Yourdadleftyou1,Goalie,G,15,13,2,0,0,0,0,0,0,0:00,0,0,0,0,0,495,0.808,95,400,3.05,30,0,0.5
PR7_Cfox,Right Defense,RD,46,44,5,69,3,66,-28,108,119,48:00,100,2.8,279,541,66,0,0,0,0,0,95,0.7263157894736842,0.4842105263157895
Joek1619,Goalie,G,48,31,11,0,0,0,0,0,0,0:00,0,0,0,0,0,1295,0.788,275,1020,2.97,90,0,0.5333333333333333
BarDownBarzal_13,Left Wing,LW,83,63,13,411,196,215,32,759,655,276:00,42.9,25.8,416,1831,29,0,0,0,0,0,159,2.5849056603773586,0.5220125786163522
TTV_trickshotman,Right Wing,RW,9,9,2,51,28,23,-19,77,13,4:00,45,36.4,38,212,15,0,0,0,0,0,20,2.55,0.45
Ace_G17_PGH,Left Wing,LW,91,62,11,330,171,159,56,713,285,100:00,57.1,24,398,1556,36,0,0,0,0,0,164,2.0121951219512195,0.5548780487804879
Roods-19,Center,C,16,7,0,77,37,40,51,126,41,12:00,50.5,29.4,56,218,15,0,0,0,0,0,23,3.347826086956522,0.6956521739130435
UnkyWinks69,Left Wing,LW,6,5,1,29,19,10,4,49,1,12:00,0,38.8,22,166,5,0,0,0,0,0,12,2.4166666666666665,0.5
Dahlinl7l,Left Defense,LD,54,18,6,83,9,74,82,80,179,120:00,0,11.3,229,546,73,0,0,0,0,0,78,1.064102564102564,0.6923076923076923
REAPINGxCHAOS,Left Defense,LD,9,14,1,12,0,12,-23,18,50,23:00,100,0,49,119,1,0,0,0,0,0,24,0.5,0.375
Jayareg79,Left Wing,LW,6,41,1,61,36,25,-168,124,247,85:00,66.7,29,131,457,10,0,0,0,0,0,48,1.2708333333333333,0.125
Dacrewzzzz,Right Wing,RW,42,76,7,215,111,104,-185,522,287,126:00,42.9,21.3,213,1145,37,0,0,0,0,0,125,1.72,0.336
egomaniacstud1,Right Wing,RW,2,6,0,5,1,4,-14,11,35,18:00,0,9.1,17,52,1,0,0,0,0,0,8,0.625,0.25
xBiGGiE8-_-,Left Wing,LW,1,2,0,6,3,3,0,14,0,4:00,0,21.4,5,40,1,0,0,0,0,0,3,2,0.3333333333333333
RzR_CHAMP,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Diggi8469,Right Wing,RW,127,136,19,817,478,339,-52,1490,242,223:00,24.5,32.1,599,3632,27,0,0,0,0,0,282,2.897163120567376,0.450354609929078
megaduke6665,Goalie,G,65,59,12,0,0,0,0,0,0,0:00,0,0,0,0,0,2194,0.766,513,1681,3.69,136,0,0.47794117647058826
Cummins_4YOU,Center,C,33,55,5,175,82,93,-118,310,341,124:00,52,26.5,238,845,87,0,0,0,0,0,93,1.881720430107527,0.3548387096774194
Leger_17,Goalie,G,0,0,0,0,0,0,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0
l_-2-d-_l,Right Defense,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
jambo313,Right Defense,RD,5,4,0,2,1,1,-6,9,18,4:00,0,11.1,33,69,2,0,0,0,0,0,9,0.2222222222222222,0.5555555555555556
cujo4201985,Left Defense,LD,81,100,15,119,13,106,-103,227,592,168:00,0,5.7,499,1106,97,0,0,0,0,0,196,0.6071428571428571,0.413265306122449
xxHazzy-Eyesxx,Left Defense,LD,6,4,0,10,1,9,6,6,6,4:00,0,16.7,27,50,3,0,0,0,0,0,10,1,0.6
DesireSolaR,Right Wing,RW,18,17,7,115,65,50,-19,236,57,24:00,41.8,27.5,92,458,16,0,0,0,0,0,42,2.738095238095238,0.42857142857142855
Axful-_-,Left Defense,LD,13,2,2,17,1,16,20,19,2,6:00,0,5.3,48,77,19,0,0,0,0,0,17,1,0.7647058823529411
BigDik-Fingers,Right Wing,RW,88,65,16,384,196,188,28,644,423,161:00,38.1,30.4,344,1344,28,0,0,0,0,0,169,2.272189349112426,0.5207100591715976
JoGaG-83,Right Wing,RW,13,21,2,89,46,43,0,152,121,43:00,49.3,30.3,106,510,16,0,0,0,0,0,36,2.4722222222222223,0.3611111111111111
DatsyukQC13,Center,C,59,81,15,357,192,165,-94,722,76,227:00,51.8,26.6,432,1103,52,0,0,0,0,0,155,2.303225806451613,0.38064516129032255
nordiques26,Right Defense,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Natale_59,Goalie,G,43,35,3,0,0,0,0,0,0,0:00,0,0,0,0,0,1246,0.774,282,964,3.39,81,0,0.5308641975308642
Ellustrious,Right Defense,RD,26,23,5,66,9,57,5,67,121,84:00,0,13.4,171,299,57,0,0,0,0,0,54,1.2222222222222223,0.48148148148148145
HellViaSin,Left Defense,LD,22,10,3,30,0,30,30,17,52,30:00,0,0,111,111,38,0,0,0,0,0,35,0.8571428571428571,0.6285714285714286
MadLuigi_Qc,Goalie,G,135,71,18,0,0,0,0,0,0,0:00,0,0,0,0,0,3405,0.818,619,2786,2.69,224,0,0.6026785714285714
MidnightNihilist,Left Defense,LD,17,24,3,31,5,26,-38,49,67,46:00,0,10.2,83,260,58,0,0,0,0,0,44,0.7045454545454546,0.38636363636363635
DbxSwanson,Center,C,18,5,2,68,24,46,26,95,102,57:00,53.4,25.3,65,293,1,0,0,0,0,0,25,2.72,0.72
jonnyrawton,Goalie,G,1,7,1,0,0,0,0,0,0,0:00,0,0,0,0,0,137,0.606,54,83,5.99,9,0,0.1111111111111111
SiMpLiFiEDChAoS,Right Wing,RW,31,43,7,183,99,84,-42,338,210,57:00,39.4,29.3,161,858,18,0,0,0,0,0,81,2.259259259259259,0.38271604938271603
JuiceStainz53,Right Defense,RD,7,8,0,25,3,22,-13,33,42,6:00,0,9.1,53,58,18,0,0,0,0,0,15,1.6666666666666667,0.4666666666666667
laydown61,Center,C,34,32,6,157,69,88,-3,268,344,48:00,52.7,25.7,185,344,74,0,0,0,0,0,72,2.1805555555555554,0.4722222222222222
LeafsNation22,Center,C,11,11,4,43,16,27,-9,64,123,14:00,54.1,25,73,130,24,0,0,0,0,0,26,1.6538461538461537,0.4230769230769231
John22019,Left Defense,LD,55,47,6,89,11,78,-25,104,271,75:00,0,10.6,265,615,80,0,0,0,0,0,108,0.8240740740740741,0.5092592592592593
DaBirdMan27,Left Wing,LW,11,27,5,111,54,57,-75,160,64,55:00,50,33.8,76,625,1,0,0,0,0,0,43,2.5813953488372094,0.2558139534883721
ItzRoachyy,Right Wing,RW,34,27,7,170,90,80,1,383,129,44:00,36.2,23.5,172,732,8,0,0,0,0,0,68,2.5,0.5
Bsavage28,Center,C,13,5,1,55,24,31,4,92,18,12:00,51.6,26.1,46,154,24,0,0,0,0,0,19,2.8947368421052633,0.6842105263157895
Tangelis,Right Defense,RD,2,1,0,2,1,1,4,4,1,2:00,0,25,7,10,0,0,0,0,0,0,3,0.6666666666666666,0.6666666666666666
LEGRINGO38,Left Defense,LD,0,0,0,0,0,0,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0
iFillyzzz,Right Wing,RW,9,13,0,33,13,20,-27,64,54,35:00,47.4,20.3,61,217,13,0,0,0,0,0,22,1.5,0.4090909090909091
Mr_Kassel,Goalie,G,8,17,2,0,0,0,0,0,0,0:00,0,0,0,0,0,465,0.748,117,348,4.23,27,0,0.2962962962962963
Loimcloth,Right Wing,RW,28,25,8,127,59,68,-25,237,116,69:00,40.8,24.9,117,596,22,0,0,0,0,0,61,2.081967213114754,0.45901639344262296
XxFatDiplomatxX,Left Defense,LD,13,24,1,28,3,25,-51,34,311,51:00,100,8.8,122,286,21,0,0,0,0,0,38,0.7368421052631579,0.34210526315789475
KryptoJayTTV,Left Defense,LD,37,32,5,72,13,59,-16,176,275,79:00,0,7.4,179,379,48,0,0,0,0,0,74,0.972972972972973,0.5
J715849,Right Defense,RD,4,9,1,10,0,10,-7,23,11,6:00,0,0,43,108,16,0,0,0,0,0,14,0.7142857142857143,0.2857142857142857
BaRtMaN42008,Goalie,G,47,33,9,0,0,0,0,0,0,0:00,0,0,0,0,0,1373,0.78,302,1071,3.31,89,0,0.5280898876404494
Jets76-bradyk14,Left Defense,LD,2,1,0,3,0,3,-3,1,2,2:00,0,0,6,11,1,0,0,0,0,0,3,1,0.6666666666666666
Swish054,Goalie,G,60,38,14,0,0,0,0,0,0,0:00,0,0,0,0,0,1849,0.805,361,1488,3.05,112,0,0.5357142857142857
god_of_war_22,Left Wing,LW,28,29,3,142,75,67,-31,249,158,24:00,100,30.1,134,590,15,0,0,0,0,0,60,2.3666666666666667,0.4666666666666667
ShirtNoService,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
l-Datsyuk_13-l,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
