Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
Fck_itsbingey,Left Wing,Official,61,45,6,301,135,166,42,423,280,112:00,49.4,31.9,282,1263,34,0,0,0,0,0,112,2.6875,0.5446428571428571
Kingryguy,Right Wing,Official,28,42,4,213,106,107,-47,373,165,34:00,35.8,28.4,153,822,37,0,0,0,0,0,74,2.8783783783783785,0.3783783783783784
Diogo_723,Right Wing,Official,37,22,3,174,73,101,48,236,144,62:00,46.4,30.9,180,745,24,0,0,0,0,0,62,2.806451612903226,0.5967741935483871
Apexpereira,Right Defense,Official,8,2,2,17,0,17,22,7,19,16:00,0,0,28,60,11,0,0,0,0,0,12,1.4166666666666667,0.6666666666666666
DreamzVIL,Goalie,Official,43,37,7,182,106,76,-6,399,224,132:00,26,26.6,201,966,35,0,0,0,0,0,87,2.0919540229885056,0.4942528735632184
Matarazzo1738,Right Wing,Official,28,33,1,70,31,39,-11,89,42,18:00,44.5,34.8,63,192,10,544,0.785,117,427,1.86,62,1.1290322580645162,0.45161290322580644
Bob_De_Lion,Right Wing,Official,3,20,0,24,12,12,-58,57,89,36:00,25.9,21.1,39,115,2,0,0,0,0,0,23,1.0434782608695652,0.13043478260869565
Tml_duff,Goalie,Official,0,1,0,0,0,0,0,0,0,0:00,0,0,0,0,0,23,0.565,10,13,10,1,0,0
Heavyarms97,Goalie,Official,22,65,9,2,1,1,-10,7,11,24:00,0,14.3,14,44,1,1562,0.731,420,1142,4.29,96,0.020833333333333332,0.22916666666666666
Silent_Rocker30,Right Defense,Official,138,114,20,414,161,253,32,625,551,311:00,53,25.8,603,2231,62,341,0.762,81,260,0.3,272,1.5220588235294117,0.5073529411764706
Mattybcanucks,Right Wing,Official,86,88,14,244,112,132,-12,455,228,178:00,39.8,24.6,398,1207,39,23,0.652,8,15,0.04,188,1.297872340425532,0.4574468085106383
sugarcoatz,Right Defense,Official,114,127,25,151,7,144,-37,179,974,194:00,100,3.9,794,1113,85,0,0,0,0,0,266,0.5676691729323309,0.42857142857142855
PKEXCLUSIVE34,Right Wing,Official,81,59,14,100,42,58,4,149,193,46:00,35.7,28.2,185,558,71,1420,0.812,267,1153,1.7,154,0.6493506493506493,0.525974025974026
Liquiduzs,Left Wing,Official,29,36,6,77,33,44,-29,190,91,24:00,40.7,17.4,79,434,14,376,0.721,105,271,1.45,71,1.0845070422535212,0.4084507042253521
Rick_F_73,Right Defense,Official,44,27,10,65,9,56,3,73,186,57:00,38.9,12.3,188,445,86,31,0.774,7,24,0.08,81,0.8024691358024691,0.5432098765432098
D0wn1nSm0ke,Goalie,Official,17,21,7,27,2,25,-30,30,62,22:00,100,6.7,67,175,72,167,0.76,40,127,0.86,45,0.6,0.37777777777777777
CookedMegaToast,Center,Official,147,95,14,316,112,204,62,483,379,121:00,52.8,23.2,389,1452,87,1326,0.826,231,1095,0.88,256,1.234375,0.57421875
Fedorov91x,Goalie,Official,155,193,29,16,5,11,-52,58,59,56:00,52.2,8.6,51,131,3,5952,0.787,1265,4687,3.3,377,0.042440318302387266,0.41114058355437666
eddropedro101,Right Defense,Official,21,37,1,37,12,25,-56,102,116,67:00,16.7,11.8,117,392,11,13,0.462,7,6,0.13,59,0.6271186440677966,0.3559322033898305
worf26,Goalie,Official,138,109,21,279,122,157,-73,608,574,135:00,50.7,20.1,343,913,25,1546,0.804,303,1243,1.12,268,1.041044776119403,0.5149253731343284
GunnarWulf,Left Wing,Official,106,67,15,393,194,200,-6,649,709,158:00,50.1,29.9,463,1753,39,0,0,0,0,0,188,2.0904255319148937,0.5638297872340425
Helmy613,Right Wing,Official,1,6,1,4,3,1,-26,24,17,2:00,60,12.5,14,79,0,0,0,0,0,0,8,0.5,0.125
bk_theMan,Right Wing,Official,2,10,0,19,7,12,-28,36,36,6:00,51.3,19.4,26,105,5,0,0,0,0,0,12,1.5833333333333333,0.16666666666666666
xsend-it_519x,Right Defense,Official,28,53,10,99,26,73,-111,140,197,139:00,38.1,18.6,235,371,133,22,0.591,9,13,0.1,91,1.0879120879120878,0.3076923076923077
MachineGunLange,Left Defense,Official,23,12,4,35,6,29,27,37,75,47:00,0,16.2,92,208,34,0,0,0,0,0,39,0.8974358974358975,0.5897435897435898
newfieginger,Goalie,Official,13,19,3,0,0,0,0,0,0,0:00,0,0,0,0,0,540,0.757,131,409,3.64,35,0,0.37142857142857144
Kitten_Mittons_0,Center,Official,8,13,3,28,11,17,-39,62,38,8:00,49.1,17.7,62,166,37,0,0,0,0,0,24,1.1666666666666667,0.3333333333333333
slinger510,Left Defense,Official,36,36,8,78,15,63,16,82,207,68:00,0,18.3,240,543,98,0,0,0,0,0,80,0.975,0.45
King-Kush1331,Center,Official,76,75,13,343,146,197,-61,585,239,136:00,50.9,25,355,1654,41,0,0,0,0,0,164,2.091463414634146,0.4634146341463415
ArtVanNostrand,Goalie,Official,5,24,4,29,12,17,-87,101,55,22:00,42.9,11.9,115,250,33,0,0,0,0,0,33,0.8787878787878788,0.15151515151515152
BFM_CloutGod,Goalie,Official,3,13,1,1,0,1,-13,1,4,2:00,0,0,2,21,0,254,0.689,79,175,4.58,17,0.058823529411764705,0.17647058823529413
Blisterix,Goalie,Official,27,31,6,22,3,19,-25,41,200,47:00,32,7.3,97,179,25,551,0.842,87,464,1.37,64,0.34375,0.421875
xJesseSkinner-,Left Wing,Official,79,45,7,345,161,184,99,577,173,127:00,44.9,27.9,286,1535,35,0,0,0,0,0,131,2.633587786259542,0.6030534351145038
PhantomHellcat,Right Defense,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
GT_LUMPII_,Right Defense,Official,24,42,4,100,31,69,-72,154,232,110:00,48.2,20.1,243,523,77,0,0,0,0,0,70,1.4285714285714286,0.34285714285714286
Mr_grind09,Right Wing,Official,0,1,0,0,0,0,0,0,0,0:00,0,0,0,0,0,23,0.739,6,17,6,1,0,0
Del-Trudo-9,Right Wing,Official,16,15,5,79,31,48,-7,121,79,43:00,42.9,25.6,66,318,35,0,0,0,0,0,36,2.1944444444444446,0.4444444444444444
PromisePie_,Left Defense,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
